2023-06-16 08:16:35,671 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 3.944728669961606e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,671 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 3.944728669961606e-05 None
2023-06-16 08:16:35,671 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.03374202496543235 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,671 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.03374202496543235 None
2023-06-16 08:16:35,676 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.005838620367049832 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,676 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.005838620367049832 None
2023-06-16 08:16:35,679 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.09828660007485125 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,679 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.09828660007485125 None
2023-06-16 08:16:35,683 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.013194953862969155 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,683 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.013194953862969155 None
2023-06-16 08:16:35,683 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.03645901553299181 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,683 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.03645901553299181 None
2023-06-16 08:16:35,687 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.00018420964908089145 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,687 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.00018420964908089145 None
2023-06-16 08:16:35,687 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.003081382125239738 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,687 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.003081382125239738 None
2023-06-16 08:16:35,691 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0001939469078736946 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,691 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0001939469078736946 None
2023-06-16 08:16:35,695 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.01727660391944219 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,695 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.01727660391944219 None
2023-06-16 08:16:35,695 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.04390251006863471 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,695 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.04390251006863471 None
2023-06-16 08:16:35,699 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.011709947523477695 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,699 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.011709947523477695 None
